cod_prod,data_inicio,data_fim,preco
603078352615,2007-08-02,2009-08-07,25.99
603078352615,2009-08-08,2011-08-14,26.99
603078352615,2011-08-15,2013-08-20,27.99
603078352615,2013-08-21,2015-08-27,27.99
603078352615,2015-08-28,2017-09-02,28.99
603078352615,2017-09-03,2019-09-09,29.99
603078352615,2019-09-10,2021-09-15,31.99
603078352615,2021-09-16,2023-09-16,31.99
131384024501,2006-08-22,2007-08-15,96.99
131384024501,2007-08-16,2008-08-08,96.99
131384024501,2008-08-09,2009-08-02,96.99
131384024501,2009-08-03,2010-07-27,100.99
131384024501,2010-07-28,2011-07-21,103.99
131384024501,2011-07-22,2012-07-14,104.99
131384024501,2012-07-15,2013-07-08,102.99
131384024501,2013-07-09,2014-07-02,108.99
131384024501,2014-07-03,2015-06-26,107.99
131384024501,2015-06-27,2016-06-19,107.99
131384024501,2016-06-20,2017-06-13,105.99
131384024501,2017-06-14,2018-06-07,105.99
131384024501,2018-06-08,2019-06-01,105.99
131384024501,2019-06-02,2020-05-12,108.99
85873708529,2000-03-05,2002-01-16,25.99
85873708529,2002-01-17,2003-11-30,26.99
85873708529,2003-12-01,2005-10-13,27.99
85873708529,2005-10-14,2007-08-27,28.99
85873708529,2007-08-28,2009-07-10,29.99
85873708529,2009-07-11,2011-05-24,29.99
85873708529,2011-05-25,2013-04-06,29.99
85873708529,2013-04-07,2015-02-18,29.99
85873708529,2015-02-19,2017-01-01,30.99
85873708529,2017-01-02,2018-11-15,31.99
85873708529,2018-11-16,2020-09-28,31.99
85873708529,2020-09-29,2022-08-12,31.99
85873708529,2022-08-13,2024-06-13,32.99
579926605113,2011-05-05,2011-12-08,21.99
579926605113,2011-12-09,2012-07-13,22.99
579926605113,2012-07-14,2013-02-16,23.99
579926605113,2013-02-17,2013-09-22,23.99
579926605113,2013-09-23,2014-04-28,24.99
579926605113,2014-04-29,2014-12-02,25.99
579926605113,2014-12-03,2015-07-08,26.99
579926605113,2015-07-09,2016-02-11,28.99
579926605113,2016-02-12,2016-09-16,29.99
579926605113,2016-09-17,2017-04-22,29.99
579926605113,2017-04-23,2017-11-26,30.99
579926605113,2017-11-27,2018-06-23,32.99
397769055946,2006-07-15,2010-02-12,89.99
397769055946,2010-02-13,2013-09-13,94.99
397769055946,2013-09-14,2017-04-14,98.99
397769055946,2017-04-15,2020-11-13,100.99
397769055946,2020-11-14,2024-06-13,103.99
981647487600,2021-04-02,2021-07-17,23.99
981647487600,2021-07-18,2021-11-01,24.99
981647487600,2021-11-02,2022-02-16,25.99
981647487600,2022-02-17,2022-06-03,25.99
981647487600,2022-06-04,2022-09-18,25.99
981647487600,2022-09-19,2023-01-03,26.99
981647487600,2023-01-04,2023-04-20,27.99
981647487600,2023-04-21,2023-08-05,28.99
981647487600,2023-08-06,2023-11-20,30.99
981647487600,2023-11-21,2024-03-06,31.99
981647487600,2024-03-07,2024-06-13,31.99
961991632239,2000-03-05,2002-11-15,17.99
961991632239,2002-11-16,2005-07-28,18.99
961991632239,2005-07-29,2008-04-09,19.99
961991632239,2008-04-10,2010-12-21,19.99
961991632239,2010-12-22,2013-09-02,19.99
961991632239,2013-09-03,2016-05-15,20.99
961991632239,2016-05-16,2019-01-26,21.99
961991632239,2019-01-27,2021-10-08,22.99
961991632239,2021-10-09,2024-06-13,23.99
944594347397,2006-04-06,2007-12-24,12.99
944594347397,2007-12-25,2009-09-12,12.99
944594347397,2009-09-13,2011-06-02,13.99
944594347397,2011-06-03,2013-02-19,14.99
944594347397,2013-02-20,2014-11-09,15.99
944594347397,2014-11-10,2016-07-29,15.99
944594347397,2016-07-30,2018-04-18,16.99
944594347397,2018-04-19,2020-01-06,17.99
944594347397,2020-01-07,2021-09-25,18.99
944594347397,2021-09-26,2023-06-14,19.99
361703171610,2014-08-19,2015-06-13,12.99
361703171610,2015-06-14,2016-04-07,13.99
361703171610,2016-04-08,2017-01-31,14.99
361703171610,2017-02-01,2017-11-26,15.99
361703171610,2017-11-27,2018-09-21,16.99
361703171610,2018-09-22,2019-07-17,17.99
361703171610,2019-07-18,2020-05-11,18.99
361703171610,2020-05-12,2021-03-06,18.99
361703171610,2021-03-07,2021-12-30,18.99
361703171610,2021-12-31,2022-10-25,19.99
361703171610,2022-10-26,2023-08-20,20.99
361703171610,2023-08-21,2024-06-13,20.99
185689609888,2000-03-05,2005-01-11,19.99
185689609888,2005-01-12,2009-11-20,20.99
185689609888,2009-11-21,2014-09-29,21.99
185689609888,2014-09-30,2019-08-08,21.99
185689609888,2019-08-09,2024-06-13,21.99
165912155337,2000-03-05,2002-05-20,16.99
165912155337,2002-05-21,2004-08-04,16.99
165912155337,2004-08-05,2006-10-20,17.99
165912155337,2006-10-21,2009-01-04,18.99
165912155337,2009-01-05,2011-03-22,19.99
165912155337,2011-03-23,2013-06-06,20.99
165912155337,2013-06-07,2015-08-22,20.99
165912155337,2015-08-23,2017-11-06,21.99
165912155337,2017-11-07,2020-01-22,22.99
165912155337,2020-01-23,2022-04-08,23.99
165912155337,2022-04-09,2024-06-13,25.99
363713572708,2016-07-11,2017-01-05,19.99
363713572708,2017-01-06,2017-07-03,20.99
363713572708,2017-07-04,2017-12-29,20.99
363713572708,2017-12-30,2018-06-26,21.99
363713572708,2018-06-27,2018-12-22,22.99
363713572708,2018-12-23,2019-06-19,22.99
363713572708,2019-06-20,2019-12-15,22.99
363713572708,2019-12-16,2020-06-11,22.99
363713572708,2020-06-12,2020-12-07,23.99
363713572708,2020-12-08,2021-06-04,24.99
363713572708,2021-06-05,2021-11-30,25.99
363713572708,2021-12-01,2022-05-28,26.99
363713572708,2022-05-29,2022-11-23,26.99
363713572708,2022-11-24,2023-05-16,27.99
22731879588,2008-11-02,2009-04-11,13.99
22731879588,2009-04-12,2009-09-19,14.99
22731879588,2009-09-20,2010-02-27,14.99
22731879588,2010-02-28,2010-08-07,14.99
22731879588,2010-08-08,2011-01-15,15.99
22731879588,2011-01-16,2011-06-25,16.99
22731879588,2011-06-26,2011-12-03,17.99
22731879588,2011-12-04,2012-05-12,17.99
22731879588,2012-05-13,2012-10-20,18.99
22731879588,2012-10-21,2013-03-30,18.99
22731879588,2013-03-31,2013-09-07,19.99
22731879588,2013-09-08,2014-02-11,19.99
427429636571,2000-05-16,2001-03-30,24.99
427429636571,2001-03-31,2002-02-12,24.99
427429636571,2002-02-13,2002-12-28,24.99
427429636571,2002-12-29,2003-11-12,25.99
427429636571,2003-11-13,2004-09-25,26.99
75422497660,2009-12-13,2010-12-23,13.99
75422497660,2010-12-24,2012-01-03,13.99
75422497660,2012-01-04,2013-01-13,14.99
75422497660,2013-01-14,2014-01-24,15.99
75422497660,2014-01-25,2015-02-04,16.99
75422497660,2015-02-05,2016-02-15,16.99
75422497660,2016-02-16,2017-02-25,16.99
75422497660,2017-02-26,2018-03-08,16.99
75422497660,2018-03-09,2019-03-19,17.99
75422497660,2019-03-20,2020-03-26,17.99
429983509254,2023-03-07,2023-04-09,14.99
429983509254,2023-04-10,2023-05-13,15.99
429983509254,2023-05-14,2023-06-16,15.99
429983509254,2023-06-17,2023-07-20,16.99
429983509254,2023-07-21,2023-08-23,16.99
429983509254,2023-08-24,2023-09-26,16.99
429983509254,2023-09-27,2023-10-30,16.99
429983509254,2023-10-31,2023-12-03,17.99
429983509254,2023-12-04,2024-01-06,17.99
429983509254,2024-01-07,2024-02-09,17.99
429983509254,2024-02-10,2024-03-14,18.99
429983509254,2024-03-15,2024-04-17,19.99
429983509254,2024-04-18,2024-05-21,19.99
429983509254,2024-05-22,2024-06-13,19.99
167150472191,2009-07-26,2011-03-22,16.99
167150472191,2011-03-23,2012-11-16,17.99
167150472191,2012-11-17,2014-07-14,18.99
167150472191,2014-07-15,2016-03-10,18.99
167150472191,2016-03-11,2017-11-05,18.99
167150472191,2017-11-06,2019-07-03,19.99
167150472191,2019-07-04,2021-02-27,20.99
167150472191,2021-02-28,2022-10-25,21.99
167150472191,2022-10-26,2024-06-13,22.99
842144095180,2017-01-10,2017-10-08,15.99
842144095180,2017-10-09,2018-07-07,16.99
842144095180,2018-07-08,2019-04-05,16.99
842144095180,2019-04-06,2020-01-02,17.99
842144095180,2020-01-03,2020-09-30,18.99
842144095180,2020-10-01,2021-06-29,19.99
842144095180,2021-06-30,2022-03-28,20.99
842144095180,2022-03-29,2022-12-25,20.99
842144095180,2022-12-26,2023-09-23,21.99
842144095180,2023-09-24,2024-06-13,22.99
549679657714,2019-05-11,2019-12-03,13.99
549679657714,2019-12-04,2020-06-27,14.99
549679657714,2020-06-28,2021-01-20,15.99
549679657714,2021-01-21,2021-08-15,16.99
549679657714,2021-08-16,2022-03-10,17.99
549679657714,2022-03-11,2022-10-03,18.99
549679657714,2022-10-04,2023-04-28,19.99
549679657714,2023-04-29,2023-11-21,20.99
549679657714,2023-11-22,2024-06-13,21.99
811355808438,2020-03-21,2020-09-30,54.99
811355808438,2020-10-01,2021-04-12,55.99
811355808438,2021-04-13,2021-10-23,56.99
811355808438,2021-10-24,2022-05-05,57.99
811355808438,2022-05-06,2022-11-15,58.99
811355808438,2022-11-16,2023-05-28,60.99
811355808438,2023-05-29,2023-12-08,63.99
811355808438,2023-12-09,2024-06-13,66.99
736189471231,2003-10-04,2004-05-12,114.99
736189471231,2004-05-13,2004-12-20,115.99
736189471231,2004-12-21,2005-07-30,113.99
736189471231,2005-07-31,2006-03-09,113.99
736189471231,2006-03-10,2006-10-17,115.99
736189471231,2006-10-18,2007-05-27,119.99
736189471231,2007-05-28,2008-01-04,119.99
736189471231,2008-01-05,2008-08-13,117.99
736189471231,2008-08-14,2009-03-23,123.99
736189471231,2009-03-24,2009-10-31,128.99
736189471231,2009-11-01,2010-06-10,134.99
736189471231,2010-06-11,2011-01-18,136.99
736189471231,2011-01-19,2011-08-23,139.99
185584251496,2021-04-13,2021-08-06,385.99
185584251496,2021-08-07,2021-11-30,387.99
185584251496,2021-12-01,2022-03-26,389.99
185584251496,2022-03-27,2022-07-20,403.99
185584251496,2022-07-21,2022-11-13,411.99
185584251496,2022-11-14,2023-03-09,427.99
185584251496,2023-03-10,2023-07-03,438.99
185584251496,2023-07-04,2023-10-27,429.99
185584251496,2023-10-28,2024-02-20,447.99
185584251496,2024-02-21,2024-06-13,448.99
625995175054,2010-03-06,2011-03-13,156.99
625995175054,2011-03-14,2012-03-20,153.99
625995175054,2012-03-21,2013-03-28,159.99
625995175054,2013-03-29,2014-04-05,166.99
625995175054,2014-04-06,2015-04-13,169.99
625995175054,2015-04-14,2016-04-20,170.99
625995175054,2016-04-21,2017-04-28,173.99
625995175054,2017-04-29,2018-05-06,178.99
625995175054,2018-05-07,2019-05-14,175.99
625995175054,2019-05-15,2020-05-21,171.99
625995175054,2020-05-22,2021-05-29,177.99
625995175054,2021-05-30,2022-06-06,184.99
625995175054,2022-06-07,2023-06-14,181.99
625995175054,2023-06-15,2024-06-13,181.99
248775328015,2005-12-10,2007-08-16,392.99
248775328015,2007-08-17,2009-04-22,408.99
248775328015,2009-04-23,2010-12-28,418.99
248775328015,2010-12-29,2012-09-03,423.99
248775328015,2012-09-04,2014-05-11,414.99
248775328015,2014-05-12,2016-01-16,413.99
248775328015,2016-01-17,2017-09-22,419.99
248775328015,2017-09-23,2019-05-30,433.99
248775328015,2019-05-31,2021-02-03,451.99
248775328015,2021-02-04,2022-10-11,472.99
248775328015,2022-10-12,2024-06-13,478.99
347140448058,2003-12-14,2006-01-08,260.99
347140448058,2006-01-09,2008-02-04,257.99
347140448058,2008-02-05,2010-03-02,269.99
347140448058,2010-03-03,2012-03-28,263.99
347140448058,2012-03-29,2014-04-24,258.99
347140448058,2014-04-25,2016-05-17,258.99
765046533577,2004-08-02,2005-08-09,491.99
765046533577,2005-08-10,2006-08-17,479.99
765046533577,2006-08-18,2007-08-25,468.99
765046533577,2007-08-26,2008-09-01,462.99
765046533577,2008-09-02,2009-09-09,477.99
765046533577,2009-09-10,2010-09-15,475.99
649768710242,2008-10-08,2011-01-04,278.99
649768710242,2011-01-05,2013-04-02,290.99
649768710242,2013-04-03,2015-06-30,289.99
649768710242,2015-07-01,2017-09-26,301.99
649768710242,2017-09-27,2019-12-24,299.99
